Nummer;Kurzbezeichnung;Langbezeichnung;SPT;Stellen
# GRUA-UNSPEZ.-PERIODEN:;;;;
613;ENRE;Entschädigungsregelungen des Erbbaurechtsvertrages;KINT;1
614;VWUG;Vergleichswert des unbelasteten Grundstücks;NINT;9
0614;SWNE;Neue Bez. VWUG;NINT;9
615;REST;Restlaufzeit des Erbbaurechts;NINT;3
730;KPWOFL;Normierter Kaufpreis / Wohnfläche;DEZ;5.2
731;KPWONU;Normierter Kaufpreis / (Wohn- und Nutzfläche);DEZ;5.2
732;KPBGFL;Normierter Kaufpreis / Bruttogrundfläche;DEZ;5.2
733;KPBRIH;Normierter Kaufpreis / Bruttorauminhalt;DEZ;5.2
734;KPSW00;Normierter Kaufpreis / Sachwert 2000;DEZ;5.2
735;KBWOFL;(Normierter Kaufpreis – Bodenwert) / Wohnfläche;DEZ;5.2
736;KBWONU;(Normierter Kaufpreis – Bodenwert) / (Wohn- und Nutzfläche);DEZ;5.2
737;KBBGFL;(Normierter Kaufpreis – Bodenwert) / Bruttogrundfläche;DEZ;5.2
738;KBBRIH;(Normierter Kaufpreis – Bodenwert) / Bruttorauminhalt;DEZ;5.2
739;PREINO;Normierter Kaufpreis;NINT;9
740;KPNUFL;Normierter Kaufpreis / Nutzfläche;DEZ;5.2
741;KPSW10;Normierter Kaufpreis / Sachwert 2010;DEZ;5.2
742;ERBFAK;Erbbaurechtsfaktor;DEZ;5.2
#;;;;
#;NEU;;;
705;BJMZ;modifiziertes Baujahr 2026;JINT;4
706;RNDZ;Restnutzungsdauer 2026;NINT;3
707;SW26;Sachwert 2026;NINT;9
708;RFAK;Regionalfaktor ImmoWertV;DEZ;1.1
709;LIEZ;Liegenschaftszins 2026;DEZ;2.2
745;KPSW26;norm. Kaufpreis / Sachwert 2026;DEZ;5.2
