Nummer;Kurzbezeichnung;Langbezeichnung;SPT;Stellen
# GRUA-UNSPEZ.-PERIODEN:;;;;
4102;LAGE2;Lagemerkmal;KINT;2
#;;;;
422;BODA;Bodenart;KINT;
4221;BODA1;Bodenart;KINT;4
4222;BODA2;Bodenart;KINT;4
#;;;;
#---------------------------------------------------------------------------
424;TEIL;Teilflächen bei land- und forstwirtschaftlicher Nutzung;KINT;
4241;TEILNU;Teilflächen bei land- und forstwirtschaftlicher Nutzung 1;KINT;3
4242;TEILFL;Teilflächen bei land- und forstwirtschaftlicher Nutzung 2;NINT;7
4243;TEILAG;Teilflächen bei land- und forstwirtschaftlicher Nutzung 3;NINT;3
4244;TEILBW;Teilflächen bei land- und forstwirtschaftlicher Nutzung 4;NINT;7
4245;TEILBO;Teilflächen bei land- und forstwirtschaftlicher Nutzung 5;KINT;4
4246;TEILFS;Teilflächen bei land- und forstwirtschaftlicher Nutzung 6;FSTR;15
4247;TEILRW;Teilflächen bei land- und forstwirtschaftlicher Nutzung 7;POS;7
4248;TEILHW;Teilflächen bei land- und forstwirtschaftlicher Nutzung 8;POS;7
#;;;;
42411;TEILNU1;Teilflächen -Nutzung-;KINT;3
42412;TEILNU2;Teilflächen -Nutzung-;KINT;3
42413;TEILNU3;Teilflächen -Nutzung-;KINT;3
42414;TEILNU4;Teilflächen -Nutzung-;KINT;3
42415;TEILNU5;Teilflächen -Nutzung-;KINT;3
42416;TEILNU6;Teilflächen -Nutzung-;KINT;3
42417;TEILNU7;Teilflächen -Nutzung-;KINT;3
42418;TEILNU8;Teilflächen -Nutzung-;KINT;3
#;;;;
42421;TEILFL1;Teilflächen-Fläche;NINT;7
42422;TEILFL2;Teilflächen-Fläche;NINT;7
42423;TEILFL3;Teilflächen-Fläche;NINT;7
42424;TEILFL4;Teilflächen-Fläche;NINT;7
42425;TEILFL5;Teilflächen-Fläche;NINT;7
42426;TEILFL6;Teilflächen-Fläche;NINT;7
42427;TEILFL7;Teilflächen-Fläche;NINT;7
42428;TEILFL8;Teilflächen-Fläche;NINT;7
#;;;;
